Temperature,Groupsize,Replicate,90_speed,90_acc,latency
9,1,1,0.6033515939571394,33.160136624416126,nan
9,1,2,0.8782299596113984,36.97520966837793,601.0
9,1,3,0.589915774683381,40.019237798910645,584.5
9,1,4,0.5220221240676405,34.126705886400565,578.6666666666666
9,1,5,1.1882514499217467,42.136581168635175,nan
9,1,6,1.1892168140925419,40.26358414391026,585.5
9,1,7,0.9953463437065304,40.19382566389838,590.5
9,1,8,1.0721960725982582,41.363949876889656,604.5
9,2,1,1.4321137737402911,35.13763646622579,612.0
9,2,2,1.7257810338094037,34.52435877802478,600.5
9,2,3,2.4292949694816306,51.084422729528285,590.0
9,2,4,1.228306125138801,32.56193198528523,596.0
9,2,5,0.7223612280772925,24.80544788098995,596.0
9,2,6,0.7547716060710353,34.48246161166522,621.0
9,2,7,0.3832467253961712,24.084561761116554,588.0
9,2,8,0.7170876650323985,29.677988837872675,596.25
9,4,1,0.7742443574873503,28.26021657374162,614.0
9,4,2,0.6251914290425622,27.041551362662425,590.25
9,4,3,0.6271222174818992,28.001765406370836,593.75
9,4,4,0.8103710307028074,29.444322740324466,583.8
9,4,5,1.4070135236701895,32.74307741300859,595.0
9,4,6,0.8062799325376626,31.438485726977518,597.75
9,4,7,1.0523820423316264,29.454045962138352,594.8
9,4,8,0.7750890211931699,28.95592929825768,584.0
9,4,9,0.8162526234519845,27.993381442644246,572.0
9,4,10,0.8617540200286548,28.15961532566488,609.0
9,8,1,0.7907540828183297,28.290623387610125,593.5
9,8,2,1.0174019811277015,35.82975685341788,590.0
9,8,3,1.1006499161015715,32.747849892646585,587.75
9,8,4,0.9322271070083257,33.63761954177058,587.6
9,8,5,1.0532893036130564,29.168207089377038,nan
9,8,6,1.1969695464900252,29.429044360348577,591.4
9,8,7,1.1281088305527092,37.19874960521469,590.2
9,8,8,1.105173530769065,28.677294987867302,584.0
9,8,9,1.3958926255342226,40.76767654857582,595.25
9,8,10,1.415591281258938,42.74723084483888,610.8
9,16,1,0.45782859557789213,23.45331049601936,591.4
9,16,2,0.947133785132773,37.34961741673509,583.8
9,16,3,1.4364036889869294,39.11919844032529,601.2
9,16,4,0.7912261311509972,28.832049746178434,581.6
9,16,5,0.8043088066554673,33.88897529121591,587.4
9,16,6,1.1633494795322885,32.124031788741064,586.0
9,16,7,1.143456830464396,29.69432839882698,590.5
9,16,8,0.944111981706453,29.53689047631731,590.8
9,16,9,0.504912742268768,26.09365513057399,591.4
9,32,1,1.1236697479698077,31.433353449329857,579.6
9,32,2,1.3063104121836084,35.12125313956058,596.2
9,32,3,0.7251814695086458,30.17797709077383,581.6
9,32,4,0.978776016498529,33.89415459263092,611.2
13,1,1,1.1160800967731257,39.141036622894426,nan
13,1,2,0.6950439257686502,41.549387014548316,nan
13,1,3,1.212686992737493,48.96025793230925,597.25
13,1,4,0.8397824312040326,43.55357578012189,598.5
13,1,5,0.5799386972172419,32.516957705910386,600.6666666666666
13,1,6,0.38555809283236775,30.92532739844138,nan
13,1,7,1.3701083062414667,49.21796421313027,nan
13,2,1,1.6026479595246972,35.60673702114267,590.5
13,2,2,1.1417045439214806,33.95444705448912,576.0
13,2,3,1.820580371469712,37.388495561064964,645.0
13,2,4,1.0182548411383554,31.318857292437507,606.0
13,2,5,1.4218399729028823,38.40731567836747,nan
13,2,6,1.1866150632238595,32.79853933008337,601.0
13,2,7,2.142956218397431,39.36016298461518,nan
13,2,8,1.0971022735136025,36.08220512194972,585.25
13,4,1,0.9399683249777655,31.694963076597606,586.8
13,4,2,1.3289286708462442,40.81396987568961,589.0
13,4,3,0.7287879414293008,26.42724024607564,584.4
13,4,4,2.210670823336554,43.99583198591764,590.0
13,4,5,0.9747595658812027,35.51349403897193,590.0
13,4,6,1.9447309020369186,40.88493410637374,589.4
13,4,7,2.1917188578215763,42.17857872357365,600.3333333333334
13,4,8,1.3200342572790966,34.378764061530845,nan
13,4,9,0.8356580127436329,29.5718245054888,582.0
13,8,1,1.5355790920059715,38.148351052901795,587.25
13,8,2,1.2884279446039744,36.61471540576646,584.0
13,8,3,1.0475279716473058,31.813516447157994,582.4
13,8,4,1.4095921947675056,31.574317593727272,594.6
13,8,5,1.2635336175200635,32.983806210872814,589.0
13,8,6,0.7670812585965594,29.355432787910214,580.4
13,8,7,1.233575202569422,35.30557688728858,588.6
13,16,1,0.9759961594655105,38.56676730076708,583.0
13,16,2,1.1388706438977436,45.92477486650204,586.8
13,16,3,1.2683180093334177,42.786022461284375,583.2
13,16,4,2.080988674063038,50.56475763773659,587.2
13,16,5,1.0380442342845564,33.46426089260881,586.0
13,16,6,0.9654767858435397,33.51387855259217,570.8
13,16,7,1.1166208377866202,33.581691903070826,584.2
13,32,1,0.915905013326233,31.56013984562662,582.0
17,1,1,1.1234528218179083,36.89303266565809,598.5
17,1,2,1.7450401812674425,43.518201669117516,598.8
17,1,3,1.4805725905890885,42.228908031832894,nan
17,1,4,2.1365159892609507,83.19009218216122,nan
17,1,5,1.2086128484795342,46.17831096148534,575.0
17,2,1,1.826836235277492,36.90933835267703,nan
17,2,2,1.0276062745052836,29.423705752868166,593.0
17,2,3,0.738668094426786,28.626749838924418,nan
17,2,4,0.8839429468463929,32.465904804521564,587.0
17,2,5,1.2007928339854246,35.54941149316776,nan
17,2,6,1.401901204290136,35.126323033129005,591.5
17,2,7,1.96835671484429,37.53103445153893,602.0
17,2,8,0.9795673498310594,32.43666996944312,591.8
17,2,9,0.9450314719460345,29.722337027174255,586.0
17,4,1,2.4291942776348425,38.49522372109638,595.0
17,4,2,1.0326375255346065,31.12558389833646,584.25
17,4,3,0.7160468372675102,25.50538695194131,590.2
17,4,4,1.050002850563841,30.42024082983729,585.25
17,4,5,1.5948825426886586,35.20627007930514,587.6
17,4,6,0.9203790143768247,30.45188292171596,584.5
17,4,7,0.7990191666502763,35.284410391579144,596.0
17,4,8,0.9558578122639174,30.22859969478997,588.0
17,8,1,1.2615964087817018,33.335627271059465,587.0
17,8,2,0.7244742249595979,24.548235143993782,581.2
17,8,3,1.5642554726616742,41.13846043212453,593.5
17,8,4,1.3808859537407883,35.791834564990204,595.25
17,8,5,1.0350713550933943,32.18076973495444,584.2
