Temperature,Groupsize,Replicate,90_speed
9,1,1,0.6033515939571394
9,1,2,0.8782299596113984
9,1,3,0.589915774683381
9,1,4,0.5220221240676405
9,1,5,1.1882514499217467
9,1,6,1.1892168140925419
9,1,7,0.9953463437065304
9,1,8,1.0721960725982582
9,2,1,1.4321137737402911
9,2,2,1.7257810338094037
9,2,3,2.4292949694816306
9,2,4,1.228306125138801
9,2,5,0.7223612280772925
9,2,6,0.7547716060710353
9,2,7,0.3832467253961712
9,2,8,0.7170876650323985
9,4,1,0.7742443574873503
9,4,2,0.6251914290425622
9,4,3,0.6271222174818992
9,4,4,0.8103710307028074
9,4,5,1.4070135236701895
9,4,6,0.8062799325376626
9,4,7,1.0523820423316264
9,4,8,0.7750890211931699
9,4,9,0.8162526234519845
9,4,10,0.8617540200286548
9,8,1,0.7907540828183297
9,8,2,1.0174019811277015
9,8,3,1.1006499161015715
9,8,4,0.9322271070083257
9,8,5,1.0532893036130564
9,8,6,1.1969695464900252
9,8,7,1.1281088305527092
9,8,8,1.105173530769065
9,8,9,1.3958926255342226
9,8,10,1.415591281258938
9,16,1,0.45782859557789213
9,16,2,0.947133785132773
9,16,3,1.4364036889869294
9,16,4,0.7912261311509972
9,16,5,0.8043088066554673
9,16,6,1.1633494795322885
9,16,7,1.143456830464396
9,16,8,0.944111981706453
9,16,9,0.504912742268768
9,32,1,1.1236697479698077
9,32,2,1.3063104121836084
9,32,3,0.7251814695086458
9,32,4,0.978776016498529
13,1,1,1.1160800967731257
13,1,2,0.6950439257686502
13,1,3,1.212686992737493
13,1,4,0.8397824312040326
13,1,5,0.5799386972172419
13,1,6,0.38555809283236775
13,1,7,1.3701083062414667
13,2,1,1.6026479595246972
13,2,2,1.1417045439214806
13,2,3,1.820580371469712
13,2,4,1.0182548411383554
13,2,5,1.4218399729028823
13,2,6,1.1866150632238595
13,2,7,2.142956218397431
13,2,8,1.0971022735136025
13,4,1,0.9399683249777655
13,4,2,1.3289286708462442
13,4,3,0.7287879414293008
13,4,4,2.210670823336554
13,4,5,0.9747595658812027
13,4,6,1.9447309020369186
13,4,7,2.1917188578215763
13,4,8,1.3200342572790966
13,4,9,0.8356580127436329
13,8,1,1.5355790920059715
13,8,2,1.2884279446039744
13,8,3,1.0475279716473058
13,8,4,1.4095921947675056
13,8,5,1.2635336175200635
13,8,6,0.7670812585965594
13,8,7,1.233575202569422
13,16,1,0.9759961594655105
13,16,2,1.1388706438977436
13,16,3,1.2683180093334177
13,16,4,2.080988674063038
13,16,5,1.0380442342845564
13,16,6,0.9654767858435397
13,16,7,1.1166208377866202
13,32,1,0.915905013326233
17,1,1,1.1234528218179083
17,1,2,1.7450401812674425
17,1,3,1.4805725905890885
17,1,4,2.1365159892609507
17,1,5,1.2086128484795342
17,2,1,1.826836235277492
17,2,2,1.0276062745052836
17,2,3,0.738668094426786
17,2,4,0.8839429468463929
17,2,5,1.2007928339854246
17,2,6,1.401901204290136
17,2,7,1.96835671484429
17,2,8,0.9795673498310594
17,2,9,0.9450314719460345
17,4,1,2.4291942776348425
17,4,2,1.0326375255346065
17,4,3,0.7160468372675102
17,4,4,1.050002850563841
17,4,5,1.5948825426886586
17,4,6,0.9203790143768247
17,4,7,0.7990191666502763
17,4,8,0.9558578122639174
17,8,1,1.2615964087817018
17,8,2,0.7244742249595979
17,8,3,1.5642554726616742
17,8,4,1.3808859537407883
17,8,5,1.0350713550933943
17,8,6,1.661127487256383
17,8,7,1.4030214545693327
17,8,8,0.9609496503784868
17,8,9,1.270290447914504
17,16,1,0.595831064494235
17,16,2,0.923559909812629
17,16,3,1.5150738895706855
17,16,4,0.5377441867164795
17,16,5,0.7208839914292808
17,16,6,1.3406620203829767
17,16,7,0.5564272641914236
17,16,8,0.9704815467948509
17,16,9,0.9058487983650207
17,32,2,0.5858282889939425
17,32,3,0.9442870032356764
21,1,1,0.8214099399988621
21,1,2,1.2071311881009683
21,1,3,1.0631290027030174
21,1,4,1.7320692478548225
21,1,5,0.8191197469380604
21,1,6,1.7421540648160883
21,2,1,1.1269222552132807
21,2,2,1.5511085869110472
21,2,3,1.3338550891737948
21,2,4,1.8398448592944818
21,2,5,1.239685269776511
21,2,6,1.7371958287634384
21,2,7,1.7784258135845845
21,2,8,0.7409212934563292
21,4,1,0.8458166081722522
21,4,2,1.1518034209192853
21,4,3,1.8098924236130363
21,4,4,1.3803878683854398
21,4,5,0.7328964723343715
21,4,6,0.7197104501767417
21,8,1,0.6461657345936613
21,8,2,1.0667865739546083
21,8,3,0.9877564278762626
21,8,4,0.9439505329559796
21,8,5,0.9906948651415751
21,8,6,0.4683852691053416
21,16,1,1.2068931831416905
21,16,2,0.9617934420673997
21,16,3,1.0701375087683318
21,16,4,0.8484691770611619
21,16,5,0.9785198920646205
21,16,6,1.678782961038654
21,16,7,1.1307915565767366
21,32,1,1.1295694082834054
25,1,1,1.6066914282809899
25,1,2,1.4005422077419298
25,1,3,1.8715512347654577
25,1,4,2.816876735389419
25,1,5,1.8182331292369849
25,1,6,1.625443650934176
25,1,7,1.7262088812377485
25,1,8,1.05026448176011
25,2,1,1.4567140001832006
25,2,2,1.7909134588930051
25,2,3,1.399773824013543
25,2,4,0.9713726752851055
25,2,5,0.8675789137405834
25,2,6,0.5660223831233677
25,4,1,2.1219960439313805
25,4,2,1.3907813226847807
25,4,3,2.207858136577069
25,4,4,1.3168689091019226
25,4,5,1.7571251733775055
25,4,6,1.841196100653252
25,8,1,1.2455732811860845
25,8,2,1.2733277975688817
25,8,3,1.2226544460536035
25,8,4,1.4642068583227812
25,8,5,1.4373041704164418
25,8,6,0.8808239012048948
25,16,1,0.8571428571428541
25,16,2,1.6093463332856413
25,16,3,1.5347337920109902
25,16,4,1.4734183491790642
25,16,5,1.2119457612624132
25,16,6,1.0105283319018499
25,16,7,1.1073199438821217
25,16,8,1.0285609135274265
25,16,9,0.7264069317202305
25,32,1,1.2832870632548037
29,1,1,2.0960413233182673
29,1,2,1.2622798374729047
29,1,3,1.017862450557756
29,1,4,0.49994142025275456
29,1,5,1.31557027999915
29,1,6,1.7963767868500096
29,1,7,1.1579297600479668
29,1,8,2.384669255923925
29,2,1,1.2172693333929119
29,2,2,1.7150867111119987
29,2,3,3.5942329493895597
29,2,4,3.0522050408702692
29,2,5,2.6166953356412543
29,2,6,1.227862715032312
29,2,7,0.8509801858740247
29,2,9,1.1434659219428367
29,2,10,1.6814157956215157
29,4,1,1.2691436832034437
29,4,2,1.545142431286573
29,4,3,1.0699039462327575
29,4,4,1.0152025463057774
29,4,5,2.085529124948632
29,4,6,0.8338217828972476
29,4,7,2.3535907212708724
29,4,8,1.1463837090880038
29,8,1,1.1120459539608956
29,8,2,0.7983326971968014
29,8,3,1.2166977990639973
29,8,4,0.7332275150426322
29,8,5,0.8997711322192582
29,8,6,1.1009042603535308
29,8,7,1.736858880399967
29,16,1,1.9535145861100007
29,16,2,1.2990165917104224
29,16,3,0.8823312974999119
29,16,4,1.2592173247206397
29,16,5,1.1095719130992423
29,16,6,0.8826584121709711
29,16,7,1.5024122959831248
